QualifyingAreaName,TotalPopulation,Male,Female,WhitePopulation,White_Male,White_Female,FreeColoredPopulation,FreeColored_Male,FreeColored_Female,SlavePopulation,Slave_Male,Slave_Female,FreePersons,FreePersons_White,FreePersons_White_Male,FreePersons_White_Female,FreePersons_ColoredPersons,FreePersons_ColoredPersons_Male,FreePersons_ColoredPersons_Female,SlavePopulation_Male,SlavePopulation_Female,DisabledWhite,DisabledWhite_DeafandDumb,InsaneandIdioticPersons,InsaneandIdioticPersons_AtPublicCharge,InsaneandIdioticPersons_AtPrivateCharge,PersonsEmployedinMining,PersonsEmployedinAgriculture,PersonsEmployedinCommerce,PersonsEmployedinManufacturingTrade,PersonsEmployedinOceanNavigation,PersonsEmployedinLandNavigation,PersonsEmployedEngineersProfessional,PensionersofRevolutionaryWarorMilitaryService,CollegeUniversityStudents,AcademyGrammarSchoolStudents,PrimaryCommonSchoolStudents,StudentsatPublicCharge,IlliterateWhiteAge20andOver,LiterateWhiteAge20andOver,NumberofPersonsEmployedinPrintingBinding
"Lycoming County, Pennsylvania",22649,11566,11083,22290,11381,10909,359,185,174,0,0,0,22649,22290,11381,10909,359,185,174,0,0,34,4,25,3,22,16,4214,141,1429,0,51,73,18,0,52,4094,704,48,9742,11
"Mckean County, Pennsylvania",2975,1565,1410,2970,1562,1408,5,3,2,0,0,0,2975,2970,1562,1408,5,3,2,0,0,0,0,0,0,0,0,785,0,72,0,0,17,4,0,30,575,0,0,1244,0
"Mercer County, Pennsylvania",32873,16745,16128,32545,16576,15969,328,169,159,0,0,0,32873,32545,16576,15969,328,169,159,0,0,54,8,41,5,36,12,6774,117,1072,3,3,72,17,0,150,7746,0,212,13542,8
"Mifflin County, Pennsylvania",13092,6724,6368,12644,6492,6152,427,220,207,21,12,9,13071,12644,6492,6152,427,220,207,12,9,11,2,9,7,2,28,1527,81,851,12,99,39,7,0,27,2125,0,221,5338,6
"Monroe County, Pennsylvania",9879,5164,4715,9829,5135,4694,50,29,21,0,0,0,9879,9829,5135,4694,50,29,21,0,0,16,4,10,3,7,0,653,23,418,4,5,14,11,0,0,794,0,110,3930,4
"Montgomery County, Pennsylvania",47241,24185,23056,46561,23823,22738,680,362,318,0,0,0,47241,46561,23823,22738,680,362,318,0,0,84,15,48,14,34,17,8382,197,3764,5,86,185,27,0,372,4465,2955,396,22328,21
"Northampton County, Pennsylvania",40996,20923,20073,40832,20831,20001,164,92,72,0,0,0,40996,40832,20831,20001,164,92,72,0,0,67,13,45,34,11,322,2829,257,3161,0,363,208,19,2,601,3445,352,7,17804,17
"Northumberland County, Pennsylvania",20027,10165,9862,19922,10109,9813,105,56,49,0,0,0,20027,19922,10109,9813,105,56,49,0,0,28,3,19,5,14,53,2758,50,1297,0,66,66,20,0,0,2854,35,73,8634,8
"Perry County, Pennsylvania",17096,8645,8451,16942,8564,8378,154,81,73,0,0,0,17096,16942,8564,8378,154,81,73,0,0,58,14,54,15,39,40,3595,76,1416,0,114,50,16,0,20,3829,1990,884,6464,6
"Philadelphia County, Pennsylvania",258037,120203,137834,238204,111887,126317,19831,8316,11515,2,0,2,258035,238204,111887,126317,19831,8316,11515,0,2,719,158,485,95,390,29,3675,8727,29223,1460,740,1723,84,5,8897,16212,16899,3213,121785,925
"Pike County, Pennsylvania",3832,2020,1812,3683,1946,1737,149,74,75,0,0,0,3832,3683,1946,1737,149,74,75,0,0,5,2,4,2,2,0,683,14,153,4,30,13,6,0,46,0,426,101,1502,0
"Potter County, Pennsylvania",3371,1754,1617,3370,1753,1617,1,1,0,0,0,0,3371,3370,1753,1617,1,1,0,0,0,2,1,1,0,1,0,984,2,42,1,0,12,4,0,0,476,476,7,1389,2
"Schuylkill County, Pennsylvania",29053,15114,13939,28728,14937,13791,325,177,148,0,0,0,29053,28728,14937,13791,325,177,148,0,0,21,7,13,2,11,1108,3216,78,972,0,210,82,21,0,127,880,530,3,12509,12
"Somerset County, Pennsylvania",19650,10016,9634,19568,9971,9597,82,45,37,0,0,0,19650,19568,9971,9597,82,45,37,0,0,94,5,79,2,77,5,3556,102,914,57,0,34,13,0,0,476,250,3515,4430,6
"Susquehanna County, Pennsylvania",21195,10815,10380,21098,10766,10332,97,49,48,0,0,0,21195,21098,10766,10332,97,49,48,0,0,65,11,43,10,33,0,5306,92,734,0,0,87,53,0,401,5074,0,246,9181,12
"Tioga County, Pennsylvania",15498,8046,7452,15429,8012,7417,69,34,35,0,0,0,15498,15429,8012,7417,69,34,35,0,0,38,15,15,0,15,76,4465,102,545,2,5,52,19,0,75,2184,1963,582,5899,7
"Union County, Pennsylvania",22787,11411,11376,22700,11360,11340,84,49,35,3,2,1,22784,22700,11360,11340,84,49,35,2,1,8,0,7,3,4,0,6435,104,1228,12,47,64,10,0,45,2540,72,6,9568,24
"Venango County, Pennsylvania",17900,9368,8532,17873,9350,8523,27,18,9,0,0,0,17900,17873,9350,8523,27,18,9,0,0,35,13,14,0,14,10,2864,1,478,0,0,42,11,0,20,949,421,4,7238,3
"Warren County, Pennsylvania",9278,4914,4364,9238,4891,4347,40,23,17,0,0,0,9278,9238,4891,4347,40,23,17,0,0,16,3,9,1,8,1,2014,0,337,0,13,30,11,0,50,2074,0,23,4073,5
"Washington County, Pennsylvania",41279,20789,20490,40164,20232,19932,1113,557,556,2,0,2,41277,40164,20232,19932,1113,557,556,0,2,72,25,33,13,20,120,6667,170,1690,9,46,176,29,2,175,6490,1934,112,18382,9
"Wayne County, Pennsylvania",11848,6247,5601,11809,6227,5582,39,20,19,0,0,0,11848,11809,6227,5582,39,20,19,0,0,6,0,5,1,4,0,0,0,0,0,0,32,17,0,96,2424,0,0,5311,6
"Westmoreland County, Pennsylvania",42699,21360,21339,42408,21183,21225,290,177,113,1,0,1,42698,42408,21183,21225,290,177,113,0,1,77,18,54,18,36,45,4948,182,1235,3,83,143,25,0,80,4154,777,45,18253,19
"York County, Pennsylvania",47010,23420,23590,46036,22924,23112,973,496,477,1,0,1,47009,46036,22924,23112,973,496,477,0,1,97,18,69,18,51,34,5524,175,3349,37,151,197,22,0,50,3749,621,4216,16806,22
"Bristol County, Rhode Island",6476,3269,3207,6231,3154,3077,245,115,130,0,0,0,6476,6231,3154,3077,245,115,130,0,0,4,1,1,0,1,0,570,118,591,663,37,33,41,0,270,742,400,4,3487,5
"Kent County, Rhode Island",13083,6232,6851,12771,6084,6687,310,147,163,2,1,1,13081,12771,6084,6687,310,147,163,1,1,43,4,30,7,23,0,2089,16,3511,37,0,41,91,0,250,1974,1371,319,6385,0
"Newport County, Rhode Island",16874,8195,8679,16293,7969,8324,579,226,353,2,0,2,16872,16293,7969,8324,579,226,353,0,2,98,22,67,47,20,28,1855,82,1527,450,62,66,91,0,100,2471,923,115,8852,15
"Providence County, Rhode Island",58073,28070,30003,56479,27389,29090,1593,681,912,1,0,1,58072,56479,27389,29090,1593,681,912,0,1,146,31,94,58,36,7,8448,1042,14302,484,93,269,280,2,2935,9705,6203,1059,29551,101
"Washington County, Rhode Island",14324,7010,7314,13813,6766,7047,511,244,267,0,0,0,14324,13813,6766,7047,511,244,267,0,0,49,16,24,10,14,0,3655,90,1340,83,36,48,98,0,109,2463,1852,117,6946,1
"Abbeville County, South Carolina",29351,14554,14797,13880,6971,6909,323,149,174,15148,7434,7714,14203,13880,6971,6909,323,149,174,7434,7714,43,7,30,5,25,0,10829,52,486,0,5,94,11,0,412,1115,153,1279,4722,0
"Anderson County, South Carolina",18493,9129,9364,12747,6308,6439,63,38,25,5683,2783,2900,12810,12747,6308,6439,63,38,25,2783,2900,25,7,18,1,17,0,5103,59,397,0,0,47,31,0,233,687,124,1568,3616,0
"Barnwell County, South Carolina",21471,10713,10758,10533,5328,5205,435,207,228,10503,5178,5325,10968,10533,5328,5205,435,207,228,5178,5325,23,1,24,3,21,0,7715,57,215,0,8,54,4,0,95,440,41,1089,3274,0
"Beaufort County, South Carolina",35794,17227,18567,5650,2817,2833,462,230,232,29682,14180,15502,6112,5650,2817,2833,462,230,232,14180,15502,2,1,1,0,1,0,16845,38,837,6,7,96,1,0,172,377,126,0,2260,0
"Charleston County, South Carolina",82661,39714,42947,20921,10926,9995,3201,1343,1858,58539,27445,31094,24122,20921,10926,9995,3201,1343,1858,27445,31094,41,4,36,22,14,0,9787,779,1317,300,37,359,25,0,1008,904,654,153,10908,140
"Chester County, South Carolina",17747,8760,8987,9889,4940,4949,136,70,66,7722,3750,3972,10025,9889,4940,4949,136,70,66,3750,3972,40,8,31,5,26,0,5934,46,298,0,20,28,13,0,70,527,134,385,4031,0
"Chesterfield County, South Carolina",8574,4225,4349,5537,2695,2842,166,88,78,2871,1442,1429,5703,5537,2695,2842,166,88,78,1442,1429,5,2,4,0,4,0,2379,39,157,0,20,14,5,0,0,0,0,619,1715,5
"Colleton County, South Carolina",25548,12607,12941,5874,3041,2833,428,205,223,19246,9361,9885,6302,5874,3041,2833,428,205,223,9361,9885,3,0,8,0,8,0,14631,12,63,0,3,61,1,0,112,365,277,428,2139,0
"Darlington County, South Carolina",14822,7295,7527,7169,3580,3589,93,48,45,7560,3667,3893,7262,7169,3580,3589,93,48,45,3667,3893,29,6,28,7,21,0,5147,27,262,0,26,43,7,0,149,305,65,1152,1806,0
"Edgefield County, South Carolina",32852,16504,16348,15020,7617,7403,294,155,139,17538,8732,8806,15314,15020,7617,7403,294,155,139,8732,8806,27,8,21,6,15,0,10814,215,571,32,47,56,28,0,65,152,79,582,5775,9
"Fairfield County, South Carolina",20165,10055,10110,7587,3914,3673,73,39,34,12505,6102,6403,7660,7587,3914,3673,73,39,34,6102,6403,0,0,0,0,0,0,7222,4,109,0,0,11,2,0,25,98,30,2,3264,0
"Georgetown County, South Carolina",18274,8708,9566,2093,1042,1051,188,86,102,15993,7580,8413,2281,2093,1042,1051,188,86,102,7580,8413,1,0,1,0,1,0,8345,31,640,36,5,37,0,0,165,73,100,45,1005,2
"Greenville County, South Carolina",17839,8748,9091,12491,6138,6353,43,23,20,5305,2587,2718,12534,12491,6138,6353,43,23,20,2587,2718,46,8,39,4,35,0,5466,66,512,0,0,34,19,0,148,524,75,2147,2973,5
"Horry County, South Carolina",5755,2850,2905,4154,2073,2081,27,23,4,1574,754,820,4181,4154,2073,2081,27,23,4,754,820,9,4,4,1,3,0,1992,0,4,0,0,6,0,0,0,101,20,730,990,0
"Kershaw County, South Carolina",12281,6036,6245,3988,2010,1978,250,127,123,8043,3899,4144,4238,3988,2010,1978,250,127,123,3899,4144,5,3,2,0,2,0,4908,0,233,0,1,33,6,0,127,304,139,152,1634,3
"Lancaster County, South Carolina",9907,5032,4875,5565,2867,2698,107,52,55,4235,2113,2122,5672,5565,2867,2698,107,52,55,2113,2122,8,4,7,2,5,45,3265,0,81,3,0,2,11,0,6,446,128,336,1912,0
"Laurens County, South Carolina",21584,10757,10827,12572,6239,6333,101,55,46,8911,4463,4448,12673,12572,6239,6333,101,55,46,4463,4448,43,15,26,4,22,0,7265,57,397,4,0,66,16,0,206,905,95,1253,4093,0
"Lexington County, South Carolina",12111,5987,6124,7401,3691,3710,25,11,14,4685,2285,2400,7426,7401,3691,3710,25,11,14,2285,2400,12,4,10,0,10,0,4085,0,298,0,0,11,2,0,105,146,43,1002,2047,0
"Marion County, South Carolina",13932,6879,7053,8593,4269,4324,88,43,45,5251,2567,2684,8681,8593,4269,4324,88,43,45,2567,2684,20,2,19,4,15,0,5489,18,105,0,1,32,4,0,71,238,17,1421,2082,0
"Marlboro County, South Carolina",8408,4220,4188,4188,2097,2091,102,47,55,4118,2076,2042,4290,4188,2097,2091,102,47,55,2076,2042,18,3,17,3,14,0,3078,27,165,0,6,18,5,0,104,229,33,702,1064,0
"Newberry County, South Carolina",18350,9089,9261,8208,4175,4033,238,104,134,9904,4810,5094,8446,8208,4175,4033,238,104,134,4810,5094,15,5,11,0,11,0,7639,63,354,0,0,58,3,0,134,757,240,0,3645,0
"Orangeburg County, South Carolina",18519,9320,9199,6321,3255,3066,264,136,128,11934,5929,6005,6585,6321,3255,3066,264,136,128,5929,6005,16,3,11,0,11,0,6809,26,204,0,2,33,5,0,40,236,39,656,2073,0
"Pickens County, South Carolina",14356,7100,7256,11548,5721,5827,93,51,42,2715,1328,1387,11641,11548,5721,5827,93,51,42,1328,1387,31,7,24,1,23,0,3451,7,279,0,0,16,22,0,51,579,114,993,3534,0
"Richland County, South Carolina",16397,8323,8074,5326,2794,2532,407,199,208,10664,5330,5334,5733,5326,2794,2532,407,199,208,5330,5334,69,2,65,32,33,0,4494,171,268,0,84,53,1,1,161,366,126,0,2630,0
"Spartanburg County, South Carolina",23669,11788,11881,17924,8935,8989,58,32,26,5687,2821,2866,17982,17924,8935,8989,58,32,26,2821,2866,19,10,8,3,5,0,6919,48,390,0,0,53,31,0,179,375,32,1191,6030,0
"Sumter County, South Carolina",27892,13693,14199,8644,4337,4307,373,180,193,18875,9176,9699,9017,8644,4337,4307,373,180,193,9176,9699,8,0,10,0,10,0,12338,52,764,0,54,81,13,0,145,693,186,505,3151,0
"Union County, South Carolina",18936,9434,9502,10485,5313,5172,97,52,45,8354,4069,4285,10582,10485,5313,5172,97,52,45,4069,4285,44,9,32,2,30,0,6805,42,323,0,0,46,24,0,240,738,263,1747,2651,0
"Williamsburg County, South Carolina",10327,5188,5139,3327,1740,1587,32,13,19,6968,3435,3533,3359,3327,1740,1587,32,13,19,3435,3533,19,8,14,1,13,0,3815,12,218,0,22,10,2,0,70,161,28,208,1133,0
"York County, South Carolina",18383,9103,9280,11449,5663,5786,109,58,51,6825,3382,3443,11558,11449,5663,5786,109,58,51,3382,3443,28,9,12,1,11,4,5694,10,378,0,0,29,26,0,33,679,163,270,4891,0
"Anderson County, Tennessee",5658,2844,2814,5218,2621,2597,15,6,9,425,217,208,5233,5218,2621,2597,15,6,9,217,208,1,1,0,0,0,0,1393,14,71,0,0,0,8,0,14,0,0,679,1289,0
"Bedford County, Tennessee",20546,10300,10246,16192,8155,8037,59,27,32,4295,2118,2177,16251,16192,8155,8037,59,27,32,2118,2177,18,3,10,1,9,0,4279,0,307,0,0,36,18,0,215,939,459,121,6096,7
"Benton County, Tennessee",4772,2350,2422,4517,2240,2277,8,2,6,247,108,139,4525,4517,2240,2277,8,2,6,108,139,3,0,6,2,4,0,1112,4,20,0,0,1,3,0,0,133,81,815,772,0
"Bledsoe County, Tennessee",5676,2903,2773,5010,2559,2451,128,66,62,538,278,260,5138,5010,2559,2451,128,66,62,278,260,19,1,12,2,10,0,1498,13,50,0,0,8,9,0,30,215,0,464,1366,0
"Blount County, Tennessee",11745,5819,5926,10664,5284,5380,136,81,55,945,454,491,10800,10664,5284,5380,136,81,55,454,491,0,0,15,4,11,0,2014,27,217,0,0,27,15,1,25,162,100,264,4069,0
"Bradley County, Tennessee",7385,3769,3616,6971,3566,3405,13,3,10,401,200,201,6984,6971,3566,3405,13,3,10,200,201,7,1,5,1,4,2,1025,26,172,0,1,29,9,0,80,172,0,940,1702,0
"Campbell County, Tennessee",6149,3085,3064,5831,2931,2900,54,27,27,264,127,137,5885,5831,2931,2900,54,27,27,127,137,28,5,18,3,15,0,1410,12,34,0,0,1,5,0,0,56,0,1280,786,0
"Cannon County, Tennessee",7193,3579,3614,6558,3282,3276,17,6,11,618,291,327,6575,6558,3282,3276,17,6,11,291,327,14,1,9,1,8,0,1742,10,114,0,0,22,8,0,25,494,120,664,1791,0
"Carroll County, Tennessee",12362,6240,6122,10114,5163,4951,30,18,12,2218,1059,1159,10144,10114,5163,4951,30,18,12,1059,1159,15,3,10,7,3,0,3475,1,158,0,0,19,11,0,0,923,12,280,3436,5
"Carter County, Tennessee",5372,2771,2601,4998,2578,2420,22,14,8,352,179,173,5020,4998,2578,2420,22,14,8,179,173,8,4,9,9,0,22,1002,11,173,0,0,6,14,0,48,60,0,811,1168,0
"Claiborne County, Tennessee",9474,4772,4702,8765,4414,4351,85,43,42,624,315,309,8850,8765,4414,4351,85,43,42,315,309,15,2,13,0,13,0,2898,16,120,0,0,8,13,0,0,130,146,1747,1565,0
"Cocke County, Tennessee",6992,3527,3465,6199,3139,3060,159,81,78,634,307,327,6358,6199,3139,3060,159,81,78,307,327,4,0,5,0,5,0,793,6,60,0,0,3,8,0,0,0,0,96,2202,0
"Coffee County, Tennessee",8184,4147,4037,7057,3626,3431,22,12,10,1105,509,596,7079,7057,3626,3431,22,12,10,509,596,10,4,6,0,6,0,2209,11,92,0,0,12,7,0,0,342,244,853,1790,0
"Davidson County, Tennessee",30509,15746,14763,17457,9162,8295,704,357,347,12348,6227,6121,18161,17457,9162,8295,704,357,347,6227,6121,57,17,36,13,23,0,20448,279,1644,2,87,175,21,1,1353,367,184,1421,6137,45
"De Kalb County, Tennessee",5868,2994,2874,5398,2775,2623,11,6,5,459,213,246,5409,5398,2775,2623,11,6,5,213,246,14,4,7,0,7,0,1607,13,104,0,0,9,7,0,0,122,176,744,1208,0
"Dickson County, Tennessee",7074,3581,3493,5370,2689,2681,17,13,4,1687,879,808,5387,5370,2689,2681,17,13,4,879,808,25,6,17,0,17,0,1841,19,371,0,14,27,17,0,0,444,73,858,1328,0
"Dyer County, Tennessee",4484,2323,2161,3427,1799,1628,15,6,9,1042,518,524,3442,3427,1799,1628,15,6,9,518,524,2,1,3,1,2,0,1518,8,18,0,0,8,2,0,0,137,8,87,1236,0
"Fayette County, Tennessee",21501,11045,10456,10573,5565,5008,43,22,21,10885,5458,5427,10616,10573,5565,5008,43,22,21,5458,5427,10,3,3,0,3,0,6394,83,248,0,0,62,11,0,215,786,15,122,4042,3
"Fentress County, Tennessee",3550,1766,1784,3465,1721,1744,5,1,4,80,44,36,3470,3465,1721,1744,5,1,4,44,36,3,2,1,1,0,0,1080,5,847,0,2,3,9,0,0,0,0,777,496,0
"Franklin County, Tennessee",12033,6115,5918,8935,4577,4358,13,7,6,3085,1531,1554,8948,8935,4577,4358,13,7,6,1531,1554,11,1,9,4,5,0,3245,14,242,0,0,43,14,0,0,242,151,54,3264,0
"Gibson County, Tennessee",13689,6903,6786,10612,5385,5227,108,55,53,2969,1463,1506,10720,10612,5385,5227,108,55,53,1463,1506,17,4,11,4,7,0,3230,37,196,0,1,27,12,0,20,520,166,253,3629,0
"Giles County, Tennessee",21494,10887,10607,14425,7354,7071,39,21,18,7030,3512,3518,14464,14425,7354,7071,39,21,18,3512,3518,35,10,19,3,16,0,6294,23,483,0,0,36,24,0,165,589,0,581,5118,6
"Grainger County, Tennessee",10572,5248,5324,9521,4719,4802,134,61,73,917,468,449,9655,9521,4719,4802,134,61,73,468,449,12,3,8,1,7,0,1295,15,119,0,0,15,14,0,0,196,135,1954,1708,0
"Greene County, Tennessee",16076,8046,8030,14919,7475,7444,151,74,77,1006,497,509,15070,14919,7475,7444,151,74,77,497,509,46,8,34,9,25,3,2591,18,285,0,0,32,17,1,98,196,160,2588,3338,0
"Hamilton County, Tennessee",8175,4306,3869,7498,3956,3542,93,55,38,584,295,289,7591,7498,3956,3542,93,55,38,295,289,8,5,0,0,0,0,1841,30,192,0,0,40,6,0,0,133,0,453,2552,3
"Hardeman County, Tennessee",14563,7545,7018,9091,4740,4351,39,14,25,5433,2791,2642,9130,9091,4740,4351,39,14,25,2791,2642,28,6,21,7,14,0,4889,0,259,0,0,34,5,0,185,506,56,1037,2521,4
"Hardin County, Tennessee",8245,4204,4041,7387,3778,3609,32,19,13,826,407,419,7419,7387,3778,3609,32,19,13,407,419,22,5,12,0,12,6,2559,26,147,0,37,13,9,0,15,176,100,1220,1491,0
"Hawkins County, Tennessee",15035,7512,7523,13408,6727,6681,128,59,69,1499,726,773,13536,13408,6727,6681,128,59,69,726,773,41,6,32,6,26,0,4081,44,356,0,0,38,40,0,20,1037,284,2919,2318,5
"Haywood County, Tennessee",13870,7149,6721,7575,3998,3577,38,14,24,6257,3137,3120,7613,7575,3998,3577,38,14,24,3137,3120,10,2,14,0,14,0,4788,52,261,0,5,57,4,0,182,493,114,650,2385,2
"Henderson County, Tennessee",11875,6048,5827,9911,5088,4823,10,5,5,1954,955,999,9921,9911,5088,4823,10,5,5,955,999,7,2,3,2,1,0,2131,25,158,0,0,26,6,0,0,265,0,672,2946,0
"Henry County, Tennessee",14906,7548,7358,11214,5725,5489,15,10,5,3677,1813,1864,11229,11214,5725,5489,15,10,5,1813,1864,21,4,17,0,17,0,4616,33,258,0,0,43,13,0,77,531,0,568,3686,2
"Hickman County, Tennessee",8618,4230,4388,7220,3579,3641,19,10,9,1379,641,738,7239,7220,3579,3641,19,10,9,641,738,32,14,15,6,9,0,1869,0,154,0,0,10,6,0,0,325,0,1164,1520,0
"Humphreys County, Tennessee",5195,2633,2562,4448,2304,2144,8,3,5,739,326,413,4456,4448,2304,2144,8,3,5,326,413,8,0,8,1,7,0,1468,14,73,0,4,7,6,0,0,217,40,488,1234,0
"Jackson County, Tennessee",12872,6463,6409,11536,5808,5728,110,64,46,1226,591,635,11646,11536,5808,5728,110,64,46,591,635,38,12,19,0,19,0,3438,21,142,0,10,27,19,0,0,119,113,2147,2185,0
"Jefferson County, Tennessee",12076,6008,6068,10662,5338,5324,132,63,69,1282,607,675,10794,10662,5338,5324,132,63,69,607,675,21,6,10,2,8,0,3138,13,273,0,10,28,27,1,45,320,23,1454,2805,0
"Johnson County, Tennessee",2658,1312,1346,2493,1232,1261,4,2,2,161,78,83,2497,2493,1232,1261,4,2,2,78,83,8,0,7,0,7,5,599,2,110,0,0,1,3,0,0,0,0,179,812,0
"Knox County, Tennessee",15485,7752,7733,13378,6709,6669,173,80,93,1934,963,971,13551,13378,6709,6669,173,80,93,963,971,47,4,34,6,28,0,3733,103,469,1,9,58,30,1,112,69,0,1564,3913,19
"Lauderdale County, Tennessee",3435,1751,1684,2423,1279,1144,2,2,0,1010,470,540,2425,2423,1279,1144,2,2,0,470,540,5,2,2,0,2,0,1244,68,47,0,6,20,2,0,0,124,0,104,842,0
"Lawrence County, Tennessee",7121,3602,3519,6370,3248,3122,16,8,8,735,346,389,6386,6370,3248,3122,16,8,8,346,389,11,3,6,0,6,0,1891,14,160,0,0,11,8,0,0,312,40,1007,1361,0
"Lincoln County, Tennessee",21493,10690,10803,17217,8626,8591,55,28,27,4221,2036,2185,17272,17217,8626,8591,55,28,27,2036,2185,48,9,41,8,33,1,6238,57,508,2,5,82,19,0,135,1244,478,1496,5208,2
"McMinn County, Tennessee",12719,6344,6375,11450,5751,5699,28,14,14,1241,579,662,11478,11450,5751,5699,28,14,14,579,662,14,6,5,0,5,0,3256,42,268,0,0,25,18,0,99,222,163,841,3528,10
"McNairy County, Tennessee",9385,4727,4658,8589,4349,4240,33,14,19,763,364,399,8622,8589,4349,4240,33,14,19,364,399,16,3,12,0,12,0,2902,15,86,0,1,25,9,0,34,273,201,1287,1825,0
"Madison County, Tennessee",16530,8384,8146,10420,5364,5056,37,16,21,6073,3004,3069,10457,10420,5364,5056,37,16,21,3004,3069,19,2,12,1,11,0,4222,51,404,0,4,66,5,0,103,512,0,837,3121,4
"Marion County, Tennessee",6070,3091,2979,5658,2889,2769,22,13,9,390,189,201,5680,5658,2889,2769,22,13,9,189,201,14,3,6,1,5,0,1798,6,61,0,0,11,6,0,7,700,0,681,1433,7
"Marshall County, Tennessee",14555,7287,7268,11468,5754,5714,12,7,5,3075,1526,1549,11480,11468,5754,5714,12,7,5,1526,1549,30,13,14,0,14,0,3095,28,202,1,0,23,21,0,0,743,432,1310,3292,0
"Maury County, Tennessee",28186,14181,14005,17090,8656,8434,94,48,46,11002,5477,5525,17184,17090,8656,8434,94,48,46,5477,5525,47,11,38,3,35,0,6729,68,572,0,1,64,19,1,326,703,0,270,6601,6
"Meigs County, Tennessee",4794,2415,2379,4498,2271,2227,12,5,7,284,139,145,4510,4498,2271,2227,12,5,7,139,145,4,1,6,1,5,0,1172,8,69,0,9,16,2,0,0,245,432,621,1000,0
"Monroe County, Tennessee",12056,6019,6037,11125,5535,5590,67,32,35,864,452,412,11192,11125,5535,5590,67,32,35,452,412,17,2,9,0,9,0,3309,35,198,0,3,24,16,0,77,172,110,1306,2985,0
"Montgomery County, Tennessee",16927,8799,8128,9762,5057,4705,106,54,52,7059,3688,3371,9868,9762,5057,4705,106,54,52,3688,3371,19,6,12,2,10,10,4867,81,818,0,42,39,8,0,127,379,143,610,3456,0
"Morgan County, Tennessee",2660,1384,1276,2534,1327,1207,42,18,24,84,39,45,2576,2534,1327,1207,42,18,24,39,45,1,0,1,0,1,1,826,3,0,0,0,0,16,0,0,0,0,519,453,0
"Obion County, Tennessee",4814,2487,2327,4219,2178,2041,8,3,5,587,306,281,4227,4219,2178,2041,8,3,5,306,281,11,2,7,0,7,0,1413,8,39,0,12,20,1,0,160,222,53,454,1189,0
"Overton County, Tennessee",9279,4555,4724,8334,4076,4258,56,29,27,889,450,439,8390,8334,4076,4258,56,29,27,450,439,23,3,17,4,13,0,6790,15,70,0,1,18,13,0,0,648,329,1579,1562,0
"Perry County, Tennessee",7419,3812,3607,6713,3445,3268,8,5,3,698,362,336,6721,6713,3445,3268,8,5,3,362,336,9,3,5,1,4,0,1814,39,27,0,0,0,10,0,113,300,0,38,2314,0
"Polk County, Tennessee",3570,1826,1744,3249,1648,1601,17,11,6,304,167,137,3266,3249,1648,1601,17,11,6,167,137,12,5,7,0,7,0,1079,11,67,0,0,3,5,0,0,38,0,227,1003,0
"Rhea County, Tennessee",3985,2012,1973,3580,1821,1759,28,13,15,377,178,199,3608,3580,1821,1759,28,13,15,178,199,6,3,1,0,1,0,1180,7,69,0,0,12,6,0,0,0,0,302,1059,0
"Roane County, Tennessee",10948,5555,5393,9590,4873,4717,60,38,22,1298,644,654,9650,9590,4873,4717,60,38,22,644,654,0,0,9,1,8,0,2083,27,242,4,1,18,27,0,30,88,60,1587,2131,0
"Robertson County, Tennessee",13801,6984,6817,9977,5039,4938,34,17,17,3790,1928,1862,10011,9977,5039,4938,34,17,17,1928,1862,5,1,2,0,2,4,3604,32,212,0,0,19,12,0,0,0,0,11,4039,0
"Rutherford County, Tennessee",24280,12220,12060,15042,7664,7378,166,84,82,9072,4472,4600,15208,15042,7664,7378,166,84,82,4472,4600,41,6,36,0,36,0,7563,70,592,0,0,65,32,0,244,633,253,1505,4471,9
"Sevier County, Tennessee",6442,3203,3239,6048,3005,3043,40,16,24,354,182,172,6088,6048,3005,3043,40,16,24,182,172,18,5,7,3,4,0,1322,20,123,1,1,12,8,0,23,513,430,1010,1221,0
"Shelby County, Tennessee",14721,7720,7001,7605,4104,3501,73,45,28,7043,3571,3472,7678,7605,4104,3501,73,45,28,3571,3472,1,0,3,1,2,0,3778,152,227,0,9,58,2,0,245,234,5,29,3172,15
"Smith County, Tennessee",21179,10605,10574,16627,8347,8280,164,76,88,4388,2182,2206,16791,16627,8347,8280,164,76,88,2182,2206,12,2,15,2,13,6,5676,11,131,0,2,37,14,1,87,219,150,79,6341,0
"Stewart County, Tennessee",8587,4703,3884,6317,3319,2998,153,79,74,2117,1305,812,6470,6317,3319,2998,153,79,74,1305,812,0,0,0,0,0,35,2780,31,810,40,20,15,4,0,0,215,0,710,1821,0
"Sullivan County, Tennessee",10736,5358,5378,9504,4715,4789,195,96,99,1037,547,490,9699,9504,4715,4789,195,96,99,547,490,16,2,6,0,6,4,2755,31,382,0,0,23,32,0,120,700,355,265,3690,0
"Sumner County, Tennessee",22445,11407,11038,14891,7592,7299,268,144,124,7286,3671,3615,15159,14891,7592,7299,268,144,124,3671,3615,28,6,20,1,19,0,5472,43,556,0,1,60,27,0,336,473,0,563,5566,9
"Tipton County, Tennessee",6800,3590,3210,3637,1960,1677,31,18,13,3132,1612,1520,3668,3637,1960,1677,31,18,13,1612,1520,9,5,3,0,3,0,2186,55,101,0,4,36,4,0,55,140,0,8,1420,0
